         1331522 function calls (1305160 primitive calls) in 1.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.025    0.025 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/partfrac.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/utilities/decorator.py:65(xthreaded)
        1    0.000    0.000    0.025    0.025 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/utilities/decorator.py:16(threaded_factory)
        1    0.000    0.000    0.025    0.025 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/matrices/__init__.py:1(<module>)
        1    0.000    0.000    0.023    0.023 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_inductor/cpp_builder.py:1(<module>)
      477    0.000    0.000    0.022    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/basic.py:212(__init_subclass__)
      478    0.010    0.000    0.022    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/assumptions.py:614(_prepare_class_assumptions)
        1    0.000    0.000    0.022    0.022 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/mpmath/__init__.py:1(<module>)
     1302    0.006    0.000    0.022    0.000 <frozen posixpath>:391(realpath)
      804    0.000    0.000    0.021    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
      804    0.021    0.000    0.021    0.000 {built-in method torch._C._nn.linear}
        1    0.000    0.000    0.021    0.021 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/codegen.py:1(<module>)
      800    0.020    0.000    0.020    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
       89    0.000    0.000    0.019    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/multipledispatch/dispatcher.py:178(add)
      779    0.019    0.000    0.019    0.000 {built-in method _io.open_code}
       89    0.000    0.000    0.019    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/multipledispatch/dispatcher.py:222(reorder)
        1    0.000    0.000    0.019    0.019 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/nn_module.py:1(<module>)
        1    0.000    0.000    0.018    0.018 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/lazy.py:1(<module>)
      627    0.000    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/inspect.py:3309(signature)
        1    0.000    0.000    0.018    0.018 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/guards.py:1(<module>)
 1249/654    0.003    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/inspect.py:2403(_signature_from_callable)
        1    0.000    0.000    0.018    0.018 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/tensor.py:1(<module>)
      627    0.000    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/inspect.py:3022(from_callable)
        1    0.000    0.000    0.017    0.017 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/geometry/__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/mpmath/ctx_fp.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/polytools.py:1(<module>)
        1    0.000    0.000    0.016    0.016 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/mpmath/ctx_base.py:1(<module>)
        1    0.000    0.000    0.016    0.016 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/expr.py:1(<module>)
    25000    0.006    0.000    0.015    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/dataset.py:206(__getitem__)
      400    0.001    0.000    0.014    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/functional.py:1660(norm)
      108    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1411(_fill_cache)
        1    0.000    0.000    0.014    0.014 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/_shard/__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/functions/special/singularity_functions.py:1(<module>)
      603    0.000    0.000    0.014    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/nn/modules/activation.py:140(forward)
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/constructor.py:1(<module>)
    13575    0.013    0.000    0.013    0.000 {built-in method posix.lstat}
      603    0.000    0.000    0.013    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/nn/functional.py:1686(relu)
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/_shard/api.py:1(<module>)
      108    0.013    0.000    0.013    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/functions/special/delta_functions.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/domains/__init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/geometry/point.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/matrices/immutable.py:1(<module>)
      603    0.013    0.000    0.013    0.000 {built-in method torch.relu}
      400    0.013    0.000    0.013    0.000 {built-in method torch.frobenius_norm}
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/geometry/entity.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/polyroots.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/src/methods.py:12(get_device)
        1    0.000    0.000    0.012    0.012 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/backends/mps/__init__.py:28(is_available)
        1    0.012    0.012    0.012    0.012 {built-in method torch._C._mps_is_available}
        1    0.000    0.000    0.012    0.012 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/_shard/sharded_tensor/__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/compiled_autograd.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/matrices/expressions/__init__.py:1(<module>)
        5    0.000    0.000    0.012    0.002 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_library/custom_ops.py:144(inner)
      780    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        5    0.000    0.000    0.011    0.002 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_library/custom_ops.py:185(__init__)
        1    0.000    0.000    0.011    0.011 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_functorch/_aot_autograd/runtime_wrappers.py:1(<module>)
        5    0.000    0.000    0.011    0.002 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_library/custom_ops.py:598(_register_to_dispatcher)
        1    0.000    0.000    0.011    0.011 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_inductor/cpu_vec_isa.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/mul.py:1(<module>)
